Key,Title,Year,Tool Name,Venue,Rank,Type,Citations,Decision,Reason
gong2025papillon,PAPILLON Efficient and Stealthy Fuzz Testing-Powered Jailbreaks for LLMs,2025,PAPILLON,USENIX Security,A*,conference,12,Included,"USENIX Security 2025 (A*) | iteratively mutate prompts using feeback from oracle."
pei2017deepxplore,DeepXplore Automated Whitebox Testing of Deep Learning Systems,2017,DeepXplore,SOSP,A*,conference,1991,Included,"SOSP (A*) | gradient-based input mutation, differential oracle across DNNs, neuron coverage feedback"
du2018deepcruiser,DeepCruiser Automated Guided Testing for Stateful Deep Learning Systems,2018,DeepCruiser,arXiv,arXiv,preprint,50,Included,"arXiv, 50 citations | iterative loop, metamorphic audio mutations, RNN state coverage, WER oracle"
guo2018dlfuzz,DLFuzz differential fuzzing testing of deep learning systems,2018,DLFuzz,ESEC/FSE,A*,conference,396,Included,"ESEC/FSE (A*) | gradient-guided input mutation, neuron coverage feedback, misclassification oracle"
tian2018deeptest,DeepTest automated testing of deep-neural-network-driven autonomous cars,2018,DeepTest,ICSE,A*,conference,1955,Included,"ICSE (A*) | metamorphic image transforms, neuron coverage feedback, differential oracle"
braiek2019deepevolution,DeepEvolution A Search-Based Testing Approach for Deep Neural Networks,2019,DeepEvolution,ICSME,A,conference,63,Included,"ICSME (A) | evolutionary search over inputs, neuron coverage feedback, metamorphic+misclassification oracle"
du2019deepstellar,DeepStellar model-based quantitative analysis of stateful deep learning systems,2019,DeepStellar,ESEC/FSE,A*,conference,210,Included,"ESEC/FSE (A*) | iterative audio mutations, RNN state-transition coverage, WER oracle"
odena2019tensorfuzz,TensorFuzz Debugging Neural Networks with Coverage-Guided Fuzzing,2019,TensorFuzz,ICML,A*,conference,468,Included,"ICML (A*) | corpus-based loop, random+guided mutations, property-checking oracle on DNN internals"
xie2019deephunter,DeepHunter a coverage-guided fuzz testing framework for deep neural networks,2019,DeepHunter,ISSTA,A,conference,582,Included,"ISSTA (A) | metamorphic image mutations, multi-granularity coverage feedback, misclassification oracle"
zhang2019life,Life after Speech Recognition Fuzzing Semantic Misinterpretation for Voice Assistant Applications,2019,LipFuzzer,NDSS,A*,conference,86,Included,"NDSS (A*) | voice command mutation targeting NLU misinterpretation, feedback-driven seed selection"
